date,debits,credits,category,item,type,source,account
2024-12-29,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-29,3.39,0.0,Groceries,GNC CHICAGO ILAPPLE PAY ENDING IN 5949070323,expense,discover,Discover Card
2024-12-29,5.11,0.0,Groceries,MARIANOS #520 CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-29,9.59,0.0,Groceries,MARIANOS #520 CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-29,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-31,4.13,0.0,Transit,BLINK BRIDGEPORT - POS CHICAGO IL,expense,discover,Discover Card
2024-12-31,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2024-12-31,9.17,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2024-12-31,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-01,16.91,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-02,4.06,0.0,Gas,7-ELEVEN 36033 CHICAGO IL,expense,discover,Discover Card
2025-01-02,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-02,2.51,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-02,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-03,5.88,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-04,4.13,0.0,Transit,BLINK BRIDGEPORT - POS CHICAGO IL,expense,discover,Discover Card
2025-01-04,13.38,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-04,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-05,18.61,0.0,Dining,CHIPOTLE 4958 CHICAGO IL,expense,discover,Discover Card
2025-01-05,17.16,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-01-05,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-06,5.14,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-06,3.61,0.0,Groceries,GNC CHICAGO IL070675,expense,discover,Discover Card
2025-01-07,8.62,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-01-07,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-08,16.15,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-08,12.29,0.0,Dining,POPEYES 5798 / 846 CHICAGO IL,expense,discover,Discover Card
2025-01-08,108.96,0.0,Groceries,TARGET 00020784091 CHICAGO IL,expense,discover,Discover Card
2025-01-09,4.4,0.0,Groceries,SOUTH LOOP MARKET - 9TH CHICAGO IL,expense,discover,Discover Card
2025-01-09,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-10,4.13,0.0,Transit,BLINK BRIDGEPORT - POS CHICAGO IL,expense,discover,Discover Card
2025-01-10,3.43,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-10,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-11,4.4,0.0,Transit,BLINK BRIDGEPORT - POS CHICAGO IL,expense,discover,Discover Card
2025-01-11,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-12,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-12,3.3,0.0,Groceries,GNC CHICAGO IL071024,expense,discover,Discover Card
2025-01-12,0.0,554.64,Card Payment,INTERNET PAYMENT - THANK YOU,transfer,discover,Discover Card
2025-01-12,13.79,0.0,Transit,LYFT *RIDE SAT 12PM 8552800278 CAAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-12,15.53,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-01-12,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-13,20.7,0.0,Shopping,KLARNA* TEMU 8445527621 OHAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-13,8.28,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-01-13,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-14,1.1,0.0,Shopping,MICROSOFT STORE REDMOND WA,expense,discover,Discover Card
2025-01-14,22.04,0.0,Shopping,MICROSOFT*STORE MSBILL.INFO WAMICROSOFT*STORE,expense,discover,Discover Card
2025-01-15,14.91,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-15,32.07,0.0,Dining,DD *DOORDASH WINGSTOP 855-973-1040 CAAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-15,3.3,0.0,Groceries,GNC CHICAGO IL071198,expense,discover,Discover Card
2025-01-15,12.76,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-01-15,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-16,4.52,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-16,5.8,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-16,8.13,0.0,Gas,BP#16361905616 FUEL INC CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-16,2.55,0.0,Groceries,MARIANOS #520 CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-16,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-17,2.19,0.0,Subscriptions,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 5949MVS19Y84Q4A0,expense,discover,Discover Card
2025-01-17,5.13,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-17,6.93,0.0,Groceries,CARNICERIA LA GLORIA CHICAGO IL,expense,discover,Discover Card
2025-01-17,3.61,0.0,Groceries,GNC CHICAGO IL071321,expense,discover,Discover Card
2025-01-17,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-18,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-18,6.24,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-01-18,19.39,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-01-18,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-20,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-20,12.0,0.0,Dining,MCDONALD'S F3661 CHICAGO IL,expense,discover,Discover Card
2025-01-20,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-22,3.53,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-23,11.44,0.0,Dining,"DENNIS PIZZA, INC CHICAGO IL",expense,discover,Discover Card
2025-01-24,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-24,4.94,0.0,Shopping,FAMILY DOLLAR CHICAGO IL,expense,discover,Discover Card
2025-01-25,2.27,0.0,Groceries,GNC CHICAGO IL071791,expense,discover,Discover Card
2025-01-25,8.25,0.0,Groceries,GNC CHICAGO IL071789,expense,discover,Discover Card
2025-01-25,2.25,0.0,Transit,VENTRA ACCOUNT CHICAGO IL,expense,discover,Discover Card
2025-01-25,0.0,8.25,Card Payment,GNC CHICAGO IL071790,transfer,discover,Discover Card
2025-01-26,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-26,9.7,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-01-27,10.01,0.0,Gas,7-ELEVEN 36033 CHICAGO IL,expense,discover,Discover Card
2025-01-28,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-28,3.08,0.0,Shopping,JC LICHT - 1299 - ACE SO CHICAGO IL,expense,discover,Discover Card
2025-01-29,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-30,7.06,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-01-30,4.64,0.0,Groceries,BURNHAM GROCERS & LIQUOR CHICAGO IL,expense,discover,Discover Card
2025-01-31,5.59,0.0,Dining,DUNKIN #354360 Q35 312-765-9952 ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-01-31,0.0,338.59,Card Payment,INTERNET PAYMENT - THANK YOU,transfer,discover,Discover Card
2025-01-31,20.7,0.0,Shopping,KLARNA 8445527621 OHAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-02-01,3.0,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-01,3.61,0.0,Groceries,GNC CHICAGO IL000255,expense,discover,Discover Card
2025-02-01,19.13,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-02-01,4.89,0.0,Alcohol,PRESTIGE LIQUOR CHICAGO IL,expense,discover,Discover Card
2025-02-01,17.81,0.0,Alcohol,PRESTIGE LIQUOR CHICAGO IL,expense,discover,Discover Card
2025-02-02,3.61,0.0,Groceries,GNC CHICAGO IL000303,expense,discover,Discover Card
2025-02-02,7.75,0.0,Dining,STARBUCKS STORE 50882 CHICAGO ILC0BF6D2AA9FA720461,expense,discover,Discover Card
2025-02-03,38.29,0.0,Shopping,AMAZON MKTPL*Z77XI9AI0 AMZN.COM/BILLWA2PBFQ0O24H4,expense,discover,Discover Card
2025-02-03,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-03,6.12,0.0,Groceries,M&K POULTRY CHICAGO IL,expense,discover,Discover Card
2025-02-04,11.32,0.0,Groceries,CARNICERIA LA GLORIA CHICAGO IL,expense,discover,Discover Card
2025-02-04,2.0,0.0,Vending & Snacks,CTLP*MARK VEND COMPANY NORTHBROOK IL,expense,discover,Discover Card
2025-02-04,5.59,0.0,Dining,DD/BR #339728 Q35 312-765-9952 ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-02-04,2.25,0.0,Transit,VENTRA ACCOUNT CHICAGO IL,expense,discover,Discover Card
2025-02-05,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-05,17.84,0.0,Groceries,MARIANOS #520 CHICAGO IL,expense,discover,Discover Card
2025-02-06,12.46,0.0,Shopping,FAMILY DOLLAR CHICAGO IL,expense,discover,Discover Card
2025-02-06,3.31,0.0,Dining,POPEYES 2865 / 815 773-254-2200 ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-02-06,14.94,0.0,Dining,POPEYES 2865 / 815 773-254-2200 ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-02-07,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-07,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-07,1.75,0.0,Vending & Snacks,CTLP*MARK VEND COMPANY NORTHBROOK IL,expense,discover,Discover Card
2025-02-07,1.75,0.0,Vending & Snacks,CTLP*MARK VEND COMPANY NORTHBROOK IL,expense,discover,Discover Card
2025-02-07,6.71,0.0,Dining,DUNKIN #354360 Q35 312-765-9952 ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-02-08,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-08,24.21,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-08,0.0,211.77,Card Payment,INTERNET PAYMENT - THANK YOU,transfer,discover,Discover Card
2025-02-08,16.99,0.0,Transit,LYFT *RIDE SAT 9PM 8552800278 CAAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-02-09,5.23,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-09,24.91,0.0,Dining,DUNKIN #358433 CHICAGO IL,expense,discover,Discover Card
2025-02-09,3.61,0.0,Groceries,GNC CHICAGO IL000747,expense,discover,Discover Card
2025-02-09,24.77,0.0,Transit,LYFT *RIDE SUN 1AM 8552800278 CAAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-02-09,2.25,0.0,Transit,VENTRA ACCOUNT CHICAGO IL,expense,discover,Discover Card
2025-02-10,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-10,8.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-10,2.23,0.0,Dining,TST*ART OF PIZZA ON ST CHICAGO IL00044253022945903983AA,expense,discover,Discover Card
2025-02-10,12.24,0.0,Dining,TST*ART OF PIZZA ON ST CHICAGO IL00044253022945887899AA,expense,discover,Discover Card
2025-02-10,5.0,0.0,Transit,VENTRA VENDING 04702 CHICAGO IL,expense,discover,Discover Card
2025-02-11,4.25,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-11,2.0,0.0,Vending & Snacks,CTLP*MARK VEND COMPANY NORTHBROOK IL,expense,discover,Discover Card
2025-02-12,22.4,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-12,15.62,0.0,Groceries,CARNICERIA LA GLORIA CHICAGO IL,expense,discover,Discover Card
2025-02-13,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-13,14.91,0.0,Groceries,CARNICERIA LA GLORIA CHICAGO IL,expense,discover,Discover Card
2025-02-13,27.84,0.0,Shopping,FAMILY DOLLAR CHICAGO IL,expense,discover,Discover Card
2025-02-13,93.41,0.0,Shopping,FAMILY DOLLAR CHICAGO IL,expense,discover,Discover Card
2025-02-13,0.0,148.15,Card Payment,INTERNET PAYMENT - THANK YOU,transfer,discover,Discover Card
2025-02-14,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-14,2.0,0.0,Vending & Snacks,CTLP*MARK VEND COMPANY NORTHBROOK IL,expense,discover,Discover Card
2025-02-14,20.7,0.0,Shopping,KLARNA 8445527621 OHAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-02-15,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-15,4.59,0.0,Groceries,CARNICERIA LA GLORIA CHICAGO IL,expense,discover,Discover Card
2025-02-15,34.98,0.0,Groceries,VITAL CAPS 888-3649872 AZ,expense,discover,Discover Card
2025-02-16,12.17,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-17,2.19,0.0,Subscriptions,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 5949MVS1FM94DKA0,expense,discover,Discover Card
2025-02-18,25.0,0.0,Taxes & Government,CTYCHGO PARKNG TICK CHICAGO IL,expense,discover,Discover Card
2025-02-18,1.0,0.0,Taxes & Government,CTYCHGO*SERVICEFEE CHICAGO IL,expense,discover,Discover Card
2025-02-19,5.99,0.0,Groceries,CARNICERIA LA GLORIA CHICAGO IL,expense,discover,Discover Card
2025-02-23,4.38,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-24,3.16,0.0,Groceries,BURNHAM GROCERS & LIQUOR CHICAGO IL,expense,discover,Discover Card
2025-02-25,9.28,0.0,Groceries,BURNHAM GROCERS & LIQUOR CHICAGO IL,expense,discover,Discover Card
2025-02-25,11.05,0.0,Groceries,BURNHAM GROCERS & LIQUOR CHICAGO IL,expense,discover,Discover Card
2025-02-25,23.49,0.0,Groceries,JEWEL OSCO 3345 CHICAGO IL,expense,discover,Discover Card
2025-02-25,22.04,0.0,Shopping,MICROSOFT*STORE MSBILL.INFO WA,expense,discover,Discover Card
2025-02-26,7.93,0.0,Gas,7-ELEVEN 36033 CHICAGO IL,expense,discover,Discover Card
2025-02-26,0.75,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-26,10.0,0.0,Fees & Interest,CASH ADVANCE FEE,expense,discover,Discover Card
2025-02-26,64.99,0.0,Transit,CTA ROOSEVELT CHICAGO IL,expense,discover,Discover Card
2025-02-26,14.32,0.0,Groceries,TRADER JOE S #701 CHICAGO IL,expense,discover,Discover Card
2025-02-26,0.0,10.0,Refund,TRANSACTION FEE REFUND,income,discover,Discover Card
2025-02-27,4.14,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-27,0.0,341.46,Card Payment,INTERNET PAYMENT - THANK YOU,transfer,discover,Discover Card
2025-02-28,160.5,0.0,Auto,A VEH REG RENEW SV#22 BEDFORD PARK IL02870R,expense,discover,Discover Card
2025-02-28,2.25,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-02-28,1.75,0.0,Vending & Snacks,CTLP*MARK VEND COMPANY NORTHBROOK IL,expense,discover,Discover Card
2025-02-28,7.37,0.0,Dining,DULCE MAMI CAFE CHICAGO IL,expense,discover,Discover Card
2025-02-28,20.7,0.0,Shopping,KLARNA 8445527621 OHAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-03-01,4.66,0.0,Shopping,AMAZON MKTPL*CP8VE4TH3 AMZN.COM/BILLWA13EL5API4SS,expense,discover,Discover Card
2025-03-01,5.92,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-01,17.17,0.0,Dining,GRUBHUB*DULCEMAMICAFE5 877-585-1085 NYAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-03-02,49.98,0.0,Groceries,VITAL CAPS 888-3649872 AZ,expense,discover,Discover Card
2025-03-03,7.75,0.0,Shopping,CARNICERIA LA GLORIA CHICAGO ILITEM TRANSFERRED FROM PREV ACCOUNT,expense,discover,Discover Card
2025-03-05,0.0,34.98,Card Payment,VITAL CAPS 888-3649872 AZSECURITY DISPUTE ADJUSTMENT,transfer,discover,Discover Card
2025-03-05,0.0,49.98,Card Payment,VITAL CAPS 888-3649872 AZSECURITY DISPUTE ADJUSTMENT,transfer,discover,Discover Card
2025-03-05,19.32,0.0,Shopping,AMAZON.COM*QG1NN1LB3 AMZN.COM/BILLWAITEM TRANSFERRED FROM PREV ACCOUNT,expense,discover,Discover Card
2025-03-06,0.0,31.3,Shopping,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAITEM TRANSFERRED FROM PREV ACCOUNT,expense,discover,Discover Card
2025-03-11,4.56,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-11,6.07,0.0,Dining,DUNKIN #354360 Q35 CHICAGO IL,expense,discover,Discover Card
2025-03-12,0.0,296.73,Card Payment,INTERNET PAYMENT - THANK YOU,transfer,discover,Discover Card
2025-03-12,13.52,0.0,Groceries,JEWEL OSCO 3345 CHICAGO IL,expense,discover,Discover Card
2025-03-13,4.55,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-14,45.14,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-14,2.0,0.0,Vending & Snacks,CTLP*MARK VEND COMPANY NORTHBROOK IL,expense,discover,Discover Card
2025-03-14,4.18,0.0,Dining,DUNKIN #354360 Q35 312-765-9952 ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-03-14,5.1,0.0,Groceries,TRADER JOE S #701 CHICAGO IL,expense,discover,Discover Card
2025-03-16,30.68,0.0,Taxes & Government,CTYCHGO PARKNG TICK CHICAGO IL,expense,discover,Discover Card
2025-03-16,1.0,0.0,Taxes & Government,CTYCHGO*SERVICEFEE CHICAGO IL,expense,discover,Discover Card
2025-03-16,20.0,0.0,Travel,ESPORTA CHICAGO KEDZIE CHICAGO IL,expense,discover,Discover Card
2025-03-16,7.75,0.0,Dining,STARBUCKS STORE 50882 CHICAGO ILD03857773371734231,expense,discover,Discover Card
2025-03-17,2.19,0.0,Subscriptions,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 5949MVS1J3J87WA0,expense,discover,Discover Card
2025-03-17,8.09,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-17,16.0,0.0,Taxes & Government,ILSOS NOTARY 2177853920 IL,expense,discover,Discover Card
2025-03-18,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-18,3.25,0.0,Vending & Snacks,CTLP*MARK VEND COMPANY NORTHBROOK IL,expense,discover,Discover Card
2025-03-19,4.18,0.0,Dining,DD/BR #339728 Q35 312-765-9952 ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-03-20,0.5,0.0,Fees & Interest,MINIMUM INTEREST CHARGE FEE,expense,discover,Discover Card
2025-03-20,13.09,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-21,2.08,0.0,Groceries,RICHMOND FOOD & LIQUORS CHICAGO IL,expense,discover,Discover Card
2025-03-21,27.56,0.0,Dining,SQ *RIGGITY CHICAGO IL0002305843021668473392,expense,discover,Discover Card
2025-03-22,67.17,0.0,Groceries,TARGET 00018796091 CHICAGO IL,expense,discover,Discover Card
2025-03-25,5.94,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-28,2.51,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-29,5.62,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-29,11.99,0.0,Transit,LYFT *RIDE FRI 9AM 8552800278 CAAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2025-03-30,5.47,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-03-31,8.21,0.0,Gas,7-ELEVEN 36033 CHICAGO IL,expense,discover,Discover Card
2025-03-31,5.5,0.0,Shopping,AMAZON MKTPL*TN6AB28V3 AMZN.COM/BILLWA4ZCRB6XKNTQ,expense,discover,Discover Card
2025-03-31,5.92,0.0,Shopping,AMAZON.COM*9V1YV0H13 AMZN.COM/BILLWA4MF24L7U7RP,expense,discover,Discover Card
2025-03-31,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-04-01,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-04-01,7.71,0.0,Groceries,TRADER JOE S #701 CHICAGO IL,expense,discover,Discover Card
2025-04-02,3.25,0.0,Gas,7-ELEVEN 36033 CHICAGO IL,expense,discover,Discover Card
2025-04-02,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-04-02,5.29,0.0,Dining,DD/BR #339728 Q35 CHICAGO IL,expense,discover,Discover Card
2025-04-03,9.18,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-04-05,6.77,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-04-05,0.0,362.07,Card Payment,INTERNET PAYMENT - THANK YOU,transfer,discover,Discover Card
2025-04-06,8.32,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-04-07,40.02,0.0,Shopping,AMAZON MKTPL*XI55804V3 AMZN.COM/BILLWA1Q9T9VZYE4T,expense,discover,Discover Card
2025-04-07,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-04-08,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2025-04-08,4.64,0.0,Groceries,BURNHAM GROCERS & LIQUOR CHICAGO IL,expense,discover,Discover Card
